,,基础属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,释放过程（针对主动技能）,,,,,,,,,,,,,,,,,,,,,,,,,,特效表现,,客户端表现,,,
33,佛法虚弱(金莲符),33,1,,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,"AddDeltaDmg(5,EffParam1)",,,,10000,1,,,,,,,,,,,,,eff_weak,,ic_bskill06,,,1
34,毒伤(金莲符),34,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,12,,,,,,,,,,10000,5,,,,AddHp(EffParam1),,,,,,,,,eff_poison_dot,,ic_buff_poison,,,1
35,持续加血(生津诀),35,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,10000,5,,,,AddHp(EffParam1),,,,,,,,,eff_heal,root,ic_skill_bskill10,,,1
36,提升血上限(元阳针),36,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxHp(EffParam1),,,,1200000,1,,,,,,,,,,,,,,,ic_skill_bskill14,,,
37,晕眩(紫云黯),37,1,5,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,3000,1,,,,,,,,,,,,,eff_stun,,ic_skill_bskill15,,,1
38,缓速(紫烟幛),6,2,4,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,2,,,,,,AddSpeedRate(-0.8),,,,10000,1,,,,,,,,,,,,,eff_slow,,ic_skill_bskill16,,,1
39,中毒(紫烟幛),39,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,12,,,,,,,,,,10000,5,,,,AddHp(EffParam1),,,,,,,,,eff_poison_dot,,ic_buff_poison,,,1
40,持续伤害(紫雷劲),40,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,12,,,,,,,,,,10000,5,,,,AddHp(EffParam1),,,,,,,,,eff_poison_dot,,ic_skill_bskill17,,,0
41,重生(紫晶劫),41,1,,,1,,,,,,,1,1,1,Revive,,,,,,,,,,,,,1,1,,,,(100-EffParam1)/100.0,,,,,,,,1200000,1,,,,,,,,,,,,,,,ic_skill_bskill18,,,0
42,保护(紫晶壁),42,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,1,,8,,,,,,AddDmgPreReceive(EffParam1),,,,60000,1,,,,,,,,,,,,,,,ic_skill_bskill19,,,0
43,减速(激电缠),6,2,3,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,2,,,,,,AddSpeedRate(-EffParam1/100.0),,,,3000,1,,,,,,,,,,,,,eff_slow,,cpsw01,,,0
44,攻击增强(风暴),44,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddDmg(1,EffParam1);AddDmg(2,EffParam1);AddDmg(3,EffParam1);AddDmg(4,EffParam1);AddDmg(5,EffParam1)",,,,20000,1,,,,,,,,,,,,,,,ic_skill_fskill14,,,0
601,破甲(裂甲破),601,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,"AddArmor(0, -EffParam1);AddArmor(2, -EffParam1);AddArmor(3, -EffParam1)",,,,10000,1,,,,,,,,,,,,,eff_weak,,ic_skill_xskill01,,,1
602,缓速(荆棘破),6,2,3,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,2,,,,,,AddSpeedRate(-EffParam1/100.0),,,,5000,1,,,,,,,,,,,,,eff_weak,,ic_skill_xskill03,,,1
603,降低攻击(无影破),603,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,"AddDmg(0, -EffParam1);AddDmg(1, -EffParam1);AddDmg(2, -EffParam1);AddDmg(3, -EffParam1);AddDmg(4, -EffParam1);AddDmg(5, -EffParam1)",,,,10000,1,,,,,,,,,,,,,eff_weak,,ic_skill_xskill04,,,1
604,毒伤(蛇蝎毒心),604,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,12,,,,,,,,,,6000,3,,,,AddHp(EffParam1),,,,,,,,,eff_poison_dot,,ic_buff_poison,,,1
605,晕眩(熊击虎扑),605,1,5,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,3000,1,,,,,,,,,,,,,eff_stun,,ic_buff_stun,,,1
606,仇恨值增加(野性激发),606,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddUltraHate(EffParam1) ,,,,1800*1000,1,,,,,,,,,,,,,,,ic_skill_xskill08,,,1
607,急效之毒,607,1,,,1,,,,,,1,30,1,,,"AddEffect(610,EffParam1)",,,,,,,,,,,,1,1,,,,0.8,,,,,,,,1800*1000,1,,,,,,,,,,,,,,,ic_skill_xskill17,,,1
608,蹒跚之毒,607,1,,,1,,,,,,1,30,1,,,,,,,,,"AddEffect(611,EffParam1)",,,,,,1,1,,,,0.8,,,,,,,,1800*1000,1,,,,,,,,,,,,,,,ic_skill_xskill18,,,1
609,弱化之毒,607,1,,,1,,,,,,1,30,1,,,,,,,,,"AddEffect(612,EffParam1)",,,,,,1,1,,,,0.8,,,,,,,,1800*1000,1,,,,,,,,,,,,,,,ic_skill_xskill19,,,1
610,急效之毒（攻击强化）,610,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddDmg(3,EffParam1);AddDmg(2,EffParam1);AddDmg(0,EffParam1)",,,,10000,1,,,,,,,,,,,,,eff_buff_powerup,,ic_skill_xskill17,,,1
611,蹒跚之毒（移动降低）,6,2,3,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,2,,,,,,AddSpeedRate(-EffParam1/100.0),,,,5000,1,,,,,,,,,,,,,eff_weak,,ic_skill_xskill18,,,1
612,弱化之毒（攻击降低）,612,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,"AddDmg(0,-EffParam1);AddDmg(1,-EffParam1);AddDmg(2,-EffParam1);AddDmg(3,-EffParam1);AddDmg(4,-EffParam1);AddDmg(5,-EffParam1)",,,,10000,1,,,,,,,,,,,,,eff_weak,,ic_skill_xskill19,,,1
613,防御提高（天乾硬铠）,613,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,"AddArmor(0, EffParam1)",,,,1800*1000,1,,,,,,,,,,,,,,,ic_skill_xskill21,,,1
614,攻击提高（地坤重击）,614,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,"AddDmg(0,EffParam1)",,,,1800*1000,1,,,,,,,,,,,,,,,ic_skill_xskill22,,,1
615,烈焰(烈炎天网),615,1,,,1,,DestroyMe,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,5,,200,,,,,30000,15,,,,,"AddEffect(616,EffParam1)",,,,,,,,,,ic_skill_xskill23,,,0
616,烈焰,616,1,,,0,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,6000,3,,,,AddHp(EffParam1),,,,,,,,,eff_fire_dot,,ic_skill_xskill23,,,0
617,寒冰(寒冰地网),617,1,,,1,,DestroyMe,,,,1,1,1,,,RemoveEffect(617),,,,,,,,,,,,0,1,,,,,5,,200+EffParam1,,,,,30000,30,,,,,AddEffect(618),,,,,,,,,,ic_skill_xskill24,,,0
618,寒冰,618,1,8,,0,,,,1,,1,,,,,,,,,,,,,,,,,0,1,,3,,,,,,AddMove(-1),,,,5000,1,,,,,,,,,,,,,eff_debuff_ice,root,ic_skill_xskill24,,,0
619,持续加血(生肌活血),619,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,10000,5,,,,AddHp(EffParam1),,,,,,,,,eff_x_skill15_t,root,ic_skill_bskill10,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,昏迷(能量冲击),701,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,3*1000,1,,,,,,,,,,,,,eff_stun,,ic_buff_stun,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,强制攻击目标(忠义护主),1001,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,2,1,,,,,,,,"AddHate(EffParam1,500000) ",,,,10000,1,,,,,,,,,,,,,eff_f_skill18,,ic_skill_xskill08,,,0
1002,加速(追踪),1002,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,2,,,,,,AddSpeedRate(EffParam2/100.0),,,,EffParam1*1000,1,,,,,,,,,,,,,eff_q_skill15,root,ic_skill_qskill15,,,1
1003,攻击增强(狂暴),1003,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddDmg(0,EffParam1)",,,,15*1000,1,,,,,,,,,,,,,,,ic_skill_xskill10,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9998,测试-超强攻防,9998,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddMaxHp(1000000);AddDeltaDmg(0, -10000);AddDps(100000)",,AddHp(1000000),,,,,,,,,,,,,,,,,,ic_skill_xskill10,,,
9999,测试Eff参数,9999,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4000,2,,,,"AddEffect(EffParam1,EffParam2,EffParam2)",,,,,,,,,,,cpsw01,,,0
10000,定身,10000,1,,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,3,,,,,,AddMove(-1),,,,3000,1,,,,,,,,,,,,,,,cpsw01,,,0
10001,晕眩,10001,1,,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,3000,1,,,,,,,,,,,,,,,ic_buff_stun,,,0
10002,隐身,10002,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,2,1,,5,,,,,,AddVisible(-1),,,,10000,1,,,,,,,,,,,,,,,cpsw01,,,0
10003,无敌,10003,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,6,,,,,,AddBeAtt(-1),,,,15000,1,,,,,,,,,,,,,,,cpsw01,,,0
10004,石头吸引,10004,1,,,,,DestroyMe,,,,1,,,,,,,,,,,,,,,,,2,2,,,,,40,,,,,,,15000,5,,,,,AddEffect(10007),,,,,,,,,,cpsw01,,,0
10005,周围加血,10005,1,,,1,,DestroyMe,,,,1,,,,,,,,,,,,,,,,,2,2,,,,,40,,,,,,,30000,10,,,,,AddEffect(6),,,,,,,,,,cpsw01,,,0
10006,周围减速,10006,1,,,1,,DestroyMe,,,,1,,,,,,,,,,,,,,,,,2,2,,,,,40,,,,,,,30000,10,,,,,AddEffect(9),,,,,,,,,,cpsw01,,,0
10007,被石头吸引了,10007,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,2,1,,6,,,,,,DisactiveAi,,,,15000,1,,,,,,,,,,,,,,,cpsw01,,,0
10008,变身,10008,1,,,,,,,,,1,,,,,,,,,,,,,,,,,2,1,,0,,,,,,SetModel(15),,,,10000,1,,,,,,,,,,,,,,,cpsw01,,,0
10009,测试-攻击后执行,10009,1,,,1,,,,,,1,1,,,,RemoveEffect(10009),,,,,,RemoveEffect(10009),,,,,,1,1,,,,,,,,AddSpeedRate(0.5),,,,,,,,,,,,,,,,,,,,cpsw01,,,
10010,测试-骑乘,10010,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,AddSpeedRate(1.6),,,,,,,,,,,,,,,,,,,,cpsw01,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,骑乘术,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,"AddSpeedRate(RideSpeedRate(EffParam1,EffParam2))",,,,,,,,,,,,,,,,,,,,ic_ride_001,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,防御提高（金刚丹）,2007,1,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,"AddArmorRate(0,EffParam1);AddDeltaDmg(0, -1);AddDeltaDmg(1, -1);AddDeltaDmg(2, -1);AddDeltaDmg(3, -1);AddDeltaDmg(4, -1);AddDeltaDmg(5, -1);AddArmor(0,100)",,,,EffParam2*60*1000,1,,,,,,,,,,,,,,,ic_it070,,,1
2011,体力提高（药师丹）,2011,1,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddMaxHpRate(EffParam1/100.0);AddMaxHp(100),,,,EffParam2*60*1000,1,,,,,,,,,,,,,,,ic_it071,,,1
2035,经验提高（灵宝神符）,2035,1,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddExpRate(EffParam1/100.0),,,,3600*1000,1,,,,,,,,,,,,,,,ic_it072,,,1
2039,经验提高（太上神符）,2035,2,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddExpRate(EffParam1/100.0),,,,24*3600*1000,1,,,,,,,,,,,,,,,ic_it073,,,1
2043,灵力提高（木公神符）,2043,1,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddNimbusRate(EffParam1/100.0),,,,3600*1000,1,,,,,,,,,,,,,,,ic_it074,,,1
2044,经验提高,2035,2,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddExpRate(EffParam1/100.0),,,,EffParam2*60*1000,1,,,,,,,,,,,,,,,x3exp,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,范围减速(水晶塔),4001,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,300,,600,,,,,3*3600*1000,10800,,,,,AddEffect(4002),,,,,,,,,,ic_skill_eskill14,,,0
4002,减速(水晶塔),6,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,2,,,,,,AddSpeedRate(-0.5),,,,5000,1,,,,,,,,,,,,,eff_slow,,ic_skill_eskill14,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,昏迷,702,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,EffParam1*1000,1,,,,,,,,,,,,,eff_stun,,ic_buff_stun,,,1
703,腐蚀,703,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,12,,,,,,,,,,10000,5,,,,AddHp(EffParam1),,,,,,,,,eff_poison_dot,,ic_buff_poison,,,1
704,烈焰,704,1,,,1,,DestroyMe,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,5,,320,,,,,30000,15,,,,,"AddEffect(705,EffParam1)",,,,,,,,,,ic_skill_xskill23,,,0
705,烈焰,705,1,,,0,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,10000,5,,,,AddHp(EffParam1),,,,,,,,,eff_fire_dot,,ic_skill_xskill23,,,0
706,防御降低,706,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,"AddArmor(0, -EffParam1)",,,,15000,1,,,,,,,,,,,,,eff_weak,,ic_buff_visible,,,1
710,火属性防御降低,710,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,"AddArmor(1, -EffParam1)",,,,30000,1,,,,,,,,,,,,,eff_weak,,ic_buff_visible,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2051,灵力增加(已不使用),2051,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,30000,1,,,,,,,,,,,,,,,ic_pet_nimbus,,,1
2052,主人灵力增加,2052,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,0,,30000,,,,AddNimbus(3+(SelfLevel-10)),,,,,,,,,,ic_pet_nimbus,,,0
2053,经验增加(已不使用),2053,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,10000,1,,,,,,,,,,,,,,,ic_pet_exp,,,1
2054,主人经验增加,2054,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,0,,10000,,,,AddExp(3+(SelfLevel-10)),,,,,,,,,,ic_pet_exp,,,0
2055,自动喝血,2055,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,10000,10,,,,,AutoEatHp(0.33),,,,,,,,,,ic_pet_heal,,1,1
2056,主人自动喝血,2056,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,,,5000,,,,AddEffect(2055),,,,,,,,,,ic_pet_heal,,,1
2057,自动喝蓝,2057,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,10000,10,,,,,AutoEatMp(0.33),,,,,,,,,,ic_pet_magic,,1,1
2058,主人自动喝蓝,2058,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,,,5000,,,,AddEffect(2057),,,,,,,,,,ic_pet_magic,,,1
2059,自动捡取,2059,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,ic_pet_get,,1,1
2060,自动捡取,2060,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,,1,,,,,,,,,,,,,,,ic_pet_get,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,防御提高（长效金刚丹）,2007,2,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,"AddArmorRate(0,EffParam1);AddDeltaDmg(0, -1);AddDeltaDmg(1, -1);AddDeltaDmg(2, -1);AddDeltaDmg(3, -1);AddDeltaDmg(4, -1);AddDeltaDmg(5, -1);AddArmor(0,100)",,,,EffParam2*60*1000,1,,,,,,,,,,,,,,,ic_it070,,,1
2063,体力提高（长效药师丹）,2011,2,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddMaxHpRate(EffParam1/100.0);AddMaxHp(100),,,,EffParam2*60*1000,1,,,,,,,,,,,,,,,ic_it071,,,1
2064,经验提高（强效灵宝神符）,2035,3,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddExpRate(EffParam1/100.0),,,,3600*1000,1,,,,,,,,,,,,,,,ic_it072,,,1
2065,经验提高（强效太上神符）,2035,4,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddExpRate(EffParam1/100.0),,,,24*3600*1000,1,,,,,,,,,,,,,,,ic_it073,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,提升血上限(银光犀鸟),1200,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxHp(EffParam1),,,,10000,1,,,,,,,,,,,,,,,ic_pet_hp,,1,0
1201,加快回血(银光犀鸟),1201,1,,IsAttackState=0,1,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddHpReg(EffParam1),,,,10000,1,,,,,,,,,,,,,,,ic_pet007,,1,0
1202,主人加血(银光犀鸟),120,2,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,0,,5000,,,,"AddEffect(1200,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.01);AddEffect(1201,2+(SelfLevel+SelfLevel*MasterBaseHp*0.001)/2)",,,,,,,,,,ic_pet007,,,0
1203,加魔上限(黄金哈士奇),1203,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxMp(EffParam1),,,,10000,1,,,,,,,,,,,,,,,ic_pet_mp,,1,0
1204,加快回魔(黄金哈士奇),1204,1,,IsAttackState=0,1,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMpReg(EffParam1),,,,10000,1,,,,,,,,,,,,,,,ic_pet006,,1,0
1205,主人加魔(黄金哈士奇),122,2,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,0,,5000,,,,"AddEffect(1203,30+SelfLevel*15+SelfLevel*MasterBaseMp*0.01);AddEffect(1204,2+(SelfLevel*1.5+SelfLevel*MasterBaseMp*0.001)/2)",,,,,,,,,,ic_pet006,,,0
1206,提升血上限(小洋葱),1206,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxHp(EffParam1),,,,10000,1,,,,,,,,,,,,,,,ic_pet_hp,,1,0
1207,加快回血(小洋葱),1207,1,,IsAttackState=0,1,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddHpReg(EffParam1),,,,10000,1,,,,,,,,,,,,,,,ic_pet002,,1,0
1208,主人加血(小洋葱),120,2,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,0,,5000,,,,"AddEffect(1206,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.01);AddEffect(1207,2+(SelfLevel+SelfLevel*MasterBaseHp*0.001)/2)",,,,,,,,,,ic_pet002,,,0
1209,提升防御(小鼠),1209,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddArmorRate(0,EffParam1)",,,,10000,1,,,,,,,,,,,,,,,ic_pet_exp,,1,0
1210,加快回血(小鼠),1210,1,,IsAttackState=0,1,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddHpReg(EffParam1),,,,10000,1,,,,,,,,,,,,,,,ic_pet008a,,1,0
1211,主人加防加回血(小鼠),1211,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,0,,5000,,,,"AddEffect(1209,SelfLevel);AddEffect(1210,2+(SelfLevel+SelfLevel*MasterBaseHp*0.001)/2)",,,,,,,,,,ic_pet008a,,,0
1212,提升防御(火狸鼠),1209,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddArmorRate(0,EffParam1)",,,,10000,1,,,,,,,,,,,,,,,ic_pet_exp,,1,0
1213,加快回血(火狸鼠),1210,1,,IsAttackState=0,1,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddHpReg(EffParam1),,,,10000,1,,,,,,,,,,,,,,,ic_pet008b,,1,0
1214,主人加防加回血(火狸鼠),1211,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,0,,5000,,,,"AddEffect(1212,SelfLevel);AddEffect(1213,2+(SelfLevel+SelfLevel*MasterBaseHp*0.001)/2)",,,,,,,,,,ic_pet008b,,,0
1215,提升防御,1215,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddArmorRate(0,EffParam1)",,,,10000,1,,,,,,,,,,,,,,,ic_pet_exp,,1,0
1216,主人加防,1211,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,0,,5000,,,,"AddEffect(1215,SelfLevel)",,,,,,,,,,ic_pet_exp,,,0
1217,提升血上限(小年兽),1217,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddMaxHp(EffParam1),,,,10000,1,,,,,,,,,,,,,,,ic_pet_hp,,1,0
1218,提升防御(小年兽),1218,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddArmorRate(0,EffParam1)",,,,10000,1,,,,,,,,,,,,,,,ic_pet_exp,,1,0
1219,主人加血加防(小年兽),120,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,0,,5000,,,,"AddEffect(1217,20+SelfLevel*10+SelfLevel*MasterBaseHp*0.01);AddEffect(1218,SelfLevel)",,,,,,,,,,ic_mon031_b,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,爱心卡,2066,1,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddExpRate(EffParam1/100.0);AddNimbusRate(EffParam2/100.0),,,,3*24*3600*1000,1,,,,,,,,,,,,,eff_m_circle,root,ic_im013,,,1
2067,爱心天使,2067,1,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,30*24*3600*1000,1,,,,,,,,,,,,,eff_m_angel,root,ic_im012,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2068,变形术,2068,1,,,1,,ResetModel,,,,1,,,,,,,,,,,,,,,,,0,1,,13,,,,,,SetModel(17);AddAtt(-1),,,,EffParam1*1000,1,,,,,,,,,,,,,,,ic_mon011,,,1
2069,小宠物经验提升,2069,1,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,3600*1000,60,,,,AddSmallPetExp(20),,,,,,,,,,,ic_it3413,,,1
2070,小宠物经验提升,2070,1,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddSmallPetExpRate(1),,,,3600*1000,1,,,,,,,,,,,,,,,ic_it3708,,,1
2071,长效小宠物经验提升,2070,2,,,1,1,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddSmallPetExpRate(1),,,,12*3600*1000,1,,,,,,,,,,,,,,,ic_it3709,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,复活保护,2072,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddBeAtt(-1),,,,20000,1,,,,,,,,,,,,,eff_rebirth,,ic_it3419,,,1
2073,捆仙锁,2073,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,0,,9,,,,,,SetForbidReviveTime(30);SetKillBind(1),,,,1800*1000,1,,,,,,,,,,,,,eff_buff_powerup,,ic_it027,,,1
2074,清身咒,2074,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,0,,9,,,,,,SetForbidReviveTime(30);SetKillReplaceModel(33),,,,1800*1000,1,,,,,,,,,,,,,eff_buff_powerup,,ic_it027,,,1
2075,变形术,2075,1,,,1,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(4589);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,ic_mon011,,,1
2076,变形术,2076,1,,,1,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(4590);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,ic_mon011,,,1
2077,3小时游戏沉迷,2077,1,,,1,1,,,,,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,AddExpRate(-0.5);AddNimbusRate(-0.5);AddMoneyRate(-0.5),,,,0,1,,,,,,,,,,,,,,,ic_it039,,,1
2078,5小时游戏沉迷,2078,1,,,1,1,,,,,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,AddExpRate(-100);AddNimbusRate(-100);AddMoneyRate(-100),,,,0,1,,,,,,,,,,,,,,,ic_it082,,,1
